cohort_month,month_number,active_customers,cohort_users,retention_rate
2022-08-01,6,2,78,2.56
2022-08-01,7,3,78,3.85
2022-08-01,8,5,78,6.41
2022-08-01,9,3,78,3.85
2022-08-01,10,2,78,2.56
2022-08-01,11,5,78,6.41
2022-08-01,12,3,78,3.85
2022-08-01,13,3,78,3.85
2022-08-01,14,2,78,2.56
2022-08-01,15,1,78,1.28
2022-08-01,16,2,78,2.56
2022-08-01,17,4,78,5.13
2022-08-01,18,2,78,2.56
2022-08-01,19,2,78,2.56
2022-08-01,20,5,78,6.41
2022-08-01,22,2,78,2.56
2022-08-01,23,5,78,6.41
2022-08-01,24,2,78,2.56
2022-08-01,25,4,78,5.13
2022-08-01,26,5,78,6.41
2022-08-01,27,3,78,3.85
2022-08-01,28,1,78,1.28
2022-09-01,0,84,84,100.00
2022-09-01,1,1,84,1.19
2022-09-01,2,2,84,2.38
2022-09-01,3,1,84,1.19
2022-09-01,4,4,84,4.76
2022-09-01,6,2,84,2.38
2022-09-01,7,4,84,4.76
2022-09-01,8,3,84,3.57
2022-09-01,9,4,84,4.76
2022-09-01,10,1,84,1.19
2022-09-01,11,4,84,4.76
2022-09-01,12,6,84,7.14
2022-09-01,13,2,84,2.38
2022-09-01,14,4,84,4.76
2022-09-01,15,6,84,7.14
2022-09-01,16,2,84,2.38
2022-09-01,17,1,84,1.19
2022-09-01,18,3,84,3.57
2022-09-01,19,5,84,5.95
2022-09-01,20,3,84,3.57
2022-09-01,21,3,84,3.57
2022-09-01,22,3,84,3.57
2022-09-01,23,2,84,2.38
2022-09-01,24,1,84,1.19
2022-09-01,25,1,84,1.19
2022-09-01,26,4,84,4.76
2022-09-01,27,1,84,1.19
2022-10-01,0,71,71,100.00
2022-10-01,1,3,71,4.23
2022-10-01,2,2,71,2.82
2022-10-01,3,6,71,8.45
2022-10-01,4,2,71,2.82
2022-10-01,5,7,71,9.86
2022-10-01,6,3,71,4.23
2022-10-01,7,1,71,1.41
2022-10-01,8,1,71,1.41
2022-10-01,9,1,71,1.41
2022-10-01,10,1,71,1.41
2022-10-01,11,2,71,2.82
2022-10-01,12,2,71,2.82
2022-10-01,13,1,71,1.41
2022-10-01,14,2,71,2.82
2022-10-01,15,2,71,2.82
2022-10-01,16,4,71,5.63
2022-10-01,17,2,71,2.82
2022-10-01,18,3,71,4.23
2022-10-01,19,2,71,2.82
2022-10-01,20,2,71,2.82
2022-10-01,21,3,71,4.23
2022-10-01,22,4,71,5.63
2022-10-01,23,2,71,2.82
2022-10-01,25,1,71,1.41
2022-10-01,26,2,71,2.82
2022-11-01,0,81,81,100.00
2022-11-01,1,2,81,2.47
2022-11-01,2,3,81,3.70
2022-11-01,3,4,81,4.94
2022-11-01,4,3,81,3.70
2022-11-01,5,5,81,6.17
2022-11-01,6,3,81,3.70
2022-11-01,7,1,81,1.23
2022-11-01,8,2,81,2.47
2022-11-01,9,2,81,2.47
2022-11-01,10,2,81,2.47
2022-11-01,11,5,81,6.17
2022-11-01,12,2,81,2.47
2022-11-01,13,2,81,2.47
2022-11-01,14,5,81,6.17
2022-11-01,15,2,81,2.47
2022-11-01,16,2,81,2.47
2022-11-01,17,6,81,7.41
2022-11-01,18,7,81,8.64
2022-11-01,19,2,81,2.47
2022-11-01,20,5,81,6.17
2022-11-01,21,1,81,1.23
2022-11-01,22,7,81,8.64
2022-11-01,23,4,81,4.94
2022-11-01,24,3,81,3.70
2022-11-01,25,2,81,2.47
2022-12-01,0,80,80,100.00
2022-12-01,1,4,80,5.00
2022-12-01,2,2,80,2.50
2022-12-01,3,2,80,2.50
2022-12-01,4,4,80,5.00
2022-12-01,5,1,80,1.25
2022-12-01,6,1,80,1.25
2022-12-01,7,4,80,5.00
2022-12-01,8,4,80,5.00
2022-12-01,9,3,80,3.75
2022-12-01,10,2,80,2.50
2022-12-01,11,3,80,3.75
2022-12-01,12,1,80,1.25
2022-12-01,13,2,80,2.50
2022-12-01,14,2,80,2.50
2022-12-01,15,1,80,1.25
2022-12-01,16,3,80,3.75
2022-12-01,17,4,80,5.00
2022-12-01,19,1,80,1.25
2022-12-01,20,3,80,3.75
2022-12-01,21,1,80,1.25
2022-12-01,22,4,80,5.00
2022-12-01,23,5,80,6.25
2022-12-01,24,2,80,2.50
2023-01-01,0,78,78,100.00
2023-01-01,1,5,78,6.41
2023-01-01,2,4,78,5.13
2023-01-01,3,1,78,1.28
2023-01-01,4,2,78,2.56
2023-01-01,5,5,78,6.41
2023-01-01,6,5,78,6.41
2023-01-01,7,4,78,5.13
2023-01-01,8,4,78,5.13
2023-01-01,9,4,78,5.13
2023-01-01,10,1,78,1.28
2023-01-01,11,4,78,5.13
2023-01-01,12,5,78,6.41
2023-01-01,13,2,78,2.56
2023-01-01,14,1,78,1.28
2023-01-01,15,2,78,2.56
2023-01-01,16,1,78,1.28
2023-01-01,17,3,78,3.85
2023-01-01,18,4,78,5.13
2023-01-01,19,5,78,6.41
2023-01-01,20,3,78,3.85
2023-01-01,21,6,78,7.69
2023-01-01,23,1,78,1.28
2023-02-01,0,60,60,100.00
2023-02-01,1,2,60,3.33
2023-02-01,3,4,60,6.67
2023-02-01,4,1,60,1.67
2023-02-01,5,1,60,1.67
2023-02-01,6,3,60,5.00
2023-02-01,8,2,60,3.33
2023-02-01,9,2,60,3.33
2023-02-01,11,2,60,3.33
2023-02-01,12,1,60,1.67
2023-02-01,13,3,60,5.00
2023-02-01,14,1,60,1.67
2023-02-01,15,3,60,5.00
2023-02-01,16,4,60,6.67
2023-02-01,17,1,60,1.67
2023-02-01,18,1,60,1.67
2023-02-01,20,3,60,5.00
2023-02-01,21,1,60,1.67
2023-02-01,22,3,60,5.00
2023-03-01,0,58,58,100.00
2023-03-01,1,1,58,1.72
2023-03-01,2,2,58,3.45
2023-03-01,3,1,58,1.72
2023-03-01,4,3,58,5.17
2023-03-01,6,4,58,6.90
2023-03-01,7,1,58,1.72
2023-03-01,9,1,58,1.72
2023-03-01,11,5,58,8.62
2023-03-01,15,3,58,5.17
2023-03-01,16,1,58,1.72
2023-03-01,17,3,58,5.17
2023-03-01,18,2,58,3.45
2023-03-01,19,5,58,8.62
2023-03-01,20,3,58,5.17
2023-03-01,21,4,58,6.90
2023-04-01,0,58,58,100.00
2023-04-01,1,4,58,6.90
2023-04-01,2,2,58,3.45
2023-04-01,3,1,58,1.72
2023-04-01,4,2,58,3.45
2023-04-01,5,1,58,1.72
2023-04-01,6,5,58,8.62
2023-04-01,7,5,58,8.62
2023-04-01,8,4,58,6.90
2023-04-01,9,3,58,5.17
2023-04-01,10,1,58,1.72
2023-04-01,11,2,58,3.45
2023-04-01,12,2,58,3.45
2023-04-01,13,1,58,1.72
2023-04-01,14,1,58,1.72
2023-04-01,15,1,58,1.72
2023-04-01,16,1,58,1.72
2023-04-01,17,4,58,6.90
2023-04-01,18,2,58,3.45
2023-04-01,20,3,58,5.17
2023-05-01,0,63,63,100.00
2023-05-01,1,3,63,4.76
2023-05-01,2,2,63,3.17
2023-05-01,3,1,63,1.59
2023-05-01,4,1,63,1.59
2023-05-01,5,1,63,1.59
2023-05-01,6,4,63,6.35
2023-05-01,7,2,63,3.17
2023-05-01,10,3,63,4.76
2023-05-01,11,2,63,3.17
2023-05-01,12,1,63,1.59
2023-05-01,13,2,63,3.17
2023-05-01,14,2,63,3.17
2023-05-01,15,3,63,4.76
2023-05-01,16,2,63,3.17
2023-05-01,17,4,63,6.35
2023-05-01,18,1,63,1.59
2023-05-01,19,4,63,6.35
2023-06-01,0,51,51,100.00
2023-06-01,1,5,51,9.80
2023-06-01,2,2,51,3.92
2023-06-01,3,1,51,1.96
2023-06-01,4,3,51,5.88
2023-06-01,6,1,51,1.96
2023-06-01,7,5,51,9.80
2023-06-01,8,2,51,3.92
2023-06-01,9,3,51,5.88
2023-06-01,10,1,51,1.96
2023-06-01,11,2,51,3.92
2023-06-01,12,2,51,3.92
2023-06-01,13,1,51,1.96
2023-06-01,15,2,51,3.92
2023-06-01,16,4,51,7.84
2023-06-01,17,4,51,7.84
2023-06-01,18,2,51,3.92
2023-07-01,0,61,61,100.00
2023-07-01,1,2,61,3.28
2023-07-01,2,4,61,6.56
2023-07-01,3,3,61,4.92
2023-07-01,4,1,61,1.64
2023-07-01,5,1,61,1.64
2023-07-01,6,2,61,3.28
2023-07-01,7,3,61,4.92
2023-07-01,8,1,61,1.64
2023-07-01,9,4,61,6.56
2023-07-01,10,2,61,3.28
2023-07-01,11,2,61,3.28
2023-07-01,12,4,61,6.56
2023-07-01,14,1,61,1.64
2023-07-01,15,5,61,8.20
2023-07-01,16,3,61,4.92
2023-07-01,17,1,61,1.64
2023-08-01,0,59,59,100.00
2023-08-01,1,1,59,1.69
2023-08-01,2,1,59,1.69
2023-08-01,3,1,59,1.69
2023-08-01,4,1,59,1.69
2023-08-01,5,1,59,1.69
2023-08-01,6,3,59,5.08
2023-08-01,7,3,59,5.08
2023-08-01,8,1,59,1.69
2023-08-01,9,1,59,1.69
2023-08-01,10,3,59,5.08
2023-08-01,11,1,59,1.69
2023-08-01,12,3,59,5.08
2023-08-01,13,2,59,3.39
2023-08-01,14,2,59,3.39
2023-08-01,15,3,59,5.08
2023-08-01,16,2,59,3.39
2023-09-01,0,60,60,100.00
2023-09-01,1,2,60,3.33
2023-09-01,2,1,60,1.67
2023-09-01,3,1,60,1.67
2023-09-01,4,2,60,3.33
2023-09-01,5,2,60,3.33
2023-09-01,6,2,60,3.33
2023-09-01,7,3,60,5.00
2023-09-01,8,5,60,8.33
2023-09-01,9,1,60,1.67
2023-09-01,11,2,60,3.33
2023-09-01,12,2,60,3.33
2023-09-01,13,1,60,1.67
2023-09-01,14,2,60,3.33
2023-09-01,15,1,60,1.67
2023-10-01,0,43,43,100.00
2023-10-01,1,1,43,2.33
2023-10-01,3,2,43,4.65
2023-10-01,4,1,43,2.33
2023-10-01,6,2,43,4.65
2023-10-01,9,1,43,2.33
2023-10-01,10,3,43,6.98
2023-10-01,11,3,43,6.98
2023-10-01,12,2,43,4.65
2023-10-01,13,3,43,6.98
2023-10-01,14,3,43,6.98
2023-11-01,0,43,43,100.00
2023-11-01,1,6,43,13.95
2023-11-01,2,2,43,4.65
2023-11-01,3,5,43,11.63
2023-11-01,5,1,43,2.33
2023-11-01,6,1,43,2.33
2023-11-01,7,2,43,4.65
2023-11-01,9,1,43,2.33
2023-11-01,10,4,43,9.30
2023-11-01,11,2,43,4.65
2023-11-01,13,3,43,6.98
2023-12-01,0,49,49,100.00
2023-12-01,2,6,49,12.24
2023-12-01,3,2,49,4.08
2023-12-01,4,2,49,4.08
2023-12-01,6,1,49,2.04
2023-12-01,7,1,49,2.04
2023-12-01,8,3,49,6.12
2023-12-01,9,2,49,4.08
2023-12-01,10,1,49,2.04
2023-12-01,11,2,49,4.08
2023-12-01,12,1,49,2.04
2024-01-01,0,42,42,100.00
2024-01-01,1,1,42,2.38
2024-01-01,2,1,42,2.38
2024-01-01,4,1,42,2.38
2024-01-01,5,1,42,2.38
2024-01-01,8,4,42,9.52
2024-01-01,9,2,42,4.76
2024-01-01,10,2,42,4.76
2024-01-01,11,1,42,2.38
2024-02-01,0,39,39,100.00
2024-02-01,1,1,39,2.56
2024-02-01,2,3,39,7.69
2024-02-01,3,1,39,2.56
2024-02-01,5,1,39,2.56
2024-02-01,6,1,39,2.56
2024-02-01,7,1,39,2.56
2024-02-01,8,2,39,5.13
2024-02-01,9,3,39,7.69
2024-02-01,10,1,39,2.56
2024-03-01,0,40,40,100.00
2024-03-01,1,1,40,2.50
2024-03-01,2,3,40,7.50
2024-03-01,3,1,40,2.50
2024-03-01,4,1,40,2.50
2024-03-01,5,1,40,2.50
2024-03-01,6,1,40,2.50
2024-03-01,7,4,40,10.00
2024-03-01,8,1,40,2.50
2024-04-01,0,38,38,100.00
2024-04-01,1,1,38,2.63
2024-04-01,4,2,38,5.26
2024-04-01,5,1,38,2.63
2024-04-01,6,3,38,7.89
2024-04-01,8,1,38,2.63
2024-05-01,0,33,33,100.00
2024-05-01,1,1,33,3.03
2024-05-01,2,1,33,3.03
2024-05-01,5,3,33,9.09
2024-05-01,6,4,33,12.12
2024-05-01,7,2,33,6.06
2024-06-01,0,37,37,100.00
2024-06-01,1,1,37,2.70
2024-06-01,3,1,37,2.70
2024-06-01,4,1,37,2.70
2024-06-01,5,2,37,5.41
2024-07-01,0,45,45,100.00
2024-07-01,1,5,45,11.11
2024-07-01,2,1,45,2.22
2024-07-01,3,2,45,4.44
2024-07-01,4,1,45,2.22
2024-08-01,0,44,44,100.00
2024-08-01,1,2,44,4.55
2024-08-01,2,3,44,6.82
2024-08-01,3,1,44,2.27
2024-08-01,4,3,44,6.82
2024-09-01,0,36,36,100.00
2024-09-01,1,1,36,2.78
2024-09-01,2,2,36,5.56
2024-09-01,3,3,36,8.33
2024-10-01,0,38,38,100.00
2024-10-01,1,1,38,2.63
2024-10-01,2,1,38,2.63
2024-11-01,0,30,30,100.00
2024-11-01,1,2,30,6.67
2024-12-01,0,27,27,100.00
